,game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
59,2332064,512.0,2.0,14.0,Mark Hughes,289.0,0.0,20.0,Gustavo Poyet,Home,1
60,2332070,281.0,6.0,4.0,Manuel Pellegrini,148.0,0.0,9.0,André Villas-Boas,Home,1
61,2332074,1123.0,1.0,14.0,Chris Hughton,873.0,0.0,20.0,Tony Pulis,Home,1
62,2332184,762.0,0.0,8.0,Alan Pardew,29.0,3.0,6.0,Roberto Martínez,Home,0
63,2332188,180.0,2.0,9.0,Mauricio Pochettino,11.0,2.0,2.0,Arsène Wenger,Home,0
64,2332222,11.0,0.0,2.0,Arsène Wenger,985.0,0.0,7.0,David Moyes,Home,0
65,2332234,405.0,4.0,10.0,Paul Lambert,984.0,3.0,15.0,Pepe Mel,Home,1
66,2332235,873.0,1.0,14.0,Tony Pulis,3008.0,0.0,13.0,Steve Bruce,Home,1
67,2332259,29.0,2.0,5.0,Roberto Martínez,281.0,3.0,1.0,Manuel Pellegrini,Home,0
68,2332288,405.0,0.0,15.0,Paul Lambert,180.0,0.0,8.0,Mauricio Pochettino,Home,0
69,2332293,180.0,0.0,8.0,Mauricio Pochettino,603.0,1.0,20.0,Ole Gunnar Solskjaer,Home,0
70,2334909,465.0,0.0,8.0,Danny Lennon,2451.0,0.0,2.0,John Hughes,Home,0
71,2334927,987.0,3.0,3.0,Stuart McCall,2759.0,1.0,9.0,Derek Adams,Home,1
72,2334939,43.0,0.0,12.0,Gary Locke,465.0,2.0,10.0,Danny Lennon,Home,0
73,2334976,370.0,0.0,5.0,Derek McInnes,987.0,1.0,3.0,Stuart McCall,Home,0
74,2334986,465.0,1.0,8.0,Danny Lennon,43.0,1.0,12.0,Gary Locke,Home,0
75,2335021,2759.0,1.0,9.0,Derek Adams,370.0,1.0,3.0,Derek McInnes,Home,0
76,2335044,2578.0,1.0,8.0,Tommy Wright,2760.0,1.0,7.0,Alan Archibald,Home,0
77,2335060,465.0,0.0,9.0,Danny Lennon,2760.0,0.0,11.0,Alan Archibald,Home,0
78,2335072,121.0,1.0,11.0,Dan Petrescu,232.0,4.0,1.0,Valeriy Karpin,Home,0
