,club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
89,1237,brighton-amp-hove-albion,Brighton and Hove Albion Football Club,GB1,,28,26.2,20,71.4,17,AMEX Stadium,31876,€-229.96m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
90,1436,sc-beira-mar,SC Beira-Mar,PO1,,26,26.6,8,30.8,0,Estádio Municipal de Aveiro,32830,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436
91,1455,fc-dordrecht,FC Dordrecht,NL1,,29,23.3,12,41.4,1,Matchoholic Stadion,4235,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-dordrecht/startseite/verein/1455
92,14589,fk-orenburg,FC Orenburg,RU1,,28,24.1,11,39.3,2,Gazovik,10046,€-480k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fk-orenburg/startseite/verein/14589
93,1519,dundee-united-fc,Dundee United Football Club,SC1,,22,26.7,13,59.1,4,Tannadice Park,14223,+€40k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/dundee-united-fc/startseite/verein/1519
94,16239,desna-chernigiv,Desna Chernigiv,UKR1,,0,,0,,0,Stadion im. Yuriya Gagarina,12060,+-0,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/desna-chernigiv/startseite/verein/16239
95,173,odense-boldklub,Odense Boldklub,DK1,,25,23.4,12,48.0,6,Nature Energy Park,15790,+€916k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/odense-boldklub/startseite/verein/173
96,200,fc-utrecht,Football Club Utrecht,NL1,,27,25.1,17,63.0,3,"Stadion ""Galgenwaard""",23750,+€14.33m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200
97,206,brondby-if,Brøndby Idrætsforening,DK1,,22,25.8,9,40.9,4,Brøndby Stadion,28000,€-1.61m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/brondby-if/startseite/verein/206
98,2715,rfc-seraing,RFC Seraing,BE1,,22,23.5,13,59.1,2,Stade du Paray,6744,+€400k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/rfc-seraing/startseite/verein/2715
99,28956,ael-kalloni,AEL Kalloni,GR1,,0,,0,,0,Stadio Mytilinis,4000,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/ael-kalloni/startseite/verein/28956
